"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.MYSM1",0.000572769084610398,"greater","ge","MYSM1",5639,4277,3183
"cn.CSTB",0.000572786417007288,"greater","cn","CSTB",5640,1760,3184
"cn.RRP1",0.000572786417007288,"greater","cn","RRP1",5640,1761,3185
"ge.CSDE1",0.000573739168019521,"greater","ge","CSDE1",5641,4278,3186
"ge.BTD",0.000574076726696114,"less","ge","BTD",5642,4279,2854
"ge.METAP2",0.000574285189586356,"greater","ge","METAP2",5643,4280,3187
"cn.PCDHB17P",0.000574390285746346,"less","cn","PCDHB17P",5644,1762,2855
"cn.PCDHB5",0.000574390285746346,"less","cn","PCDHB5",5644,1763,2856
"cn.PCDHB6",0.000574390285746346,"less","cn","PCDHB6",5644,1764,2857
"ge.HRASLS2",0.000574923647128296,"less","ge","HRASLS2",5645,4281,2858
"cn.NOB1",0.000575206869480792,"less","cn","NOB1",5646,1765,2859
"cn.NQO1",0.000575206869480792,"less","cn","NQO1",5646,1766,2860
"cn.CSAG2",0.000576111040966221,"less","cn","CSAG2",5647,1767,2861
"cn.FYB",0.00057660585788162,"less","cn","FYB",5648,1768,2862
"cn.FGL1",0.000576640873228215,"greater","cn","FGL1",5649,1769,3188
"ge.EOGT",0.000577355283244292,"less","ge","EOGT",5650,4282,2863
"cn.SLC25A37",0.000577591707488149,"greater","cn","SLC25A37",5651,1770,3189
"cn.ZBTB46",0.000577933143690808,"less","cn","ZBTB46",5652,1771,2864
"ge.TRAF4",0.000577936050797082,"less","ge","TRAF4",5653,4283,2865
"cn.TMPRSS11D",0.00057813601629562,"greater","cn","TMPRSS11D",5654,1772,3190
"ge.RNF169",0.000578349866677131,"greater","ge","RNF169",5655,4284,3191
"ge.DLEU2",0.000579447248323859,"greater","ge","DLEU2",5656,4285,3192
"cn.NCOA6",0.000579663661446056,"less","cn","NCOA6",5657,1773,2866
"ge.ST8SIA3",0.000579991323703014,"greater","ge","ST8SIA3",5658,4286,3193
"cn.CSAG3",0.000580210681218577,"less","cn","CSAG3",5659,1774,2867
"cn.MAGEA12",0.000580210681218577,"less","cn","MAGEA12",5659,1775,2868
"cn.MAGEA2",0.000580210681218577,"less","cn","MAGEA2",5659,1776,2869
"cn.MAGEA6",0.000580210681218577,"less","cn","MAGEA6",5659,1777,2870
"cn.CCBE1",0.000580777747634717,"greater","cn","CCBE1",5660,1778,3194
"ge.RPL15",0.00058114045965998,"greater","ge","RPL15",5661,4287,3195
"ge.ITGB7",0.000581769553311231,"greater","ge","ITGB7",5662,4288,3196
"ge.CHAF1B",0.000582464166300338,"greater","ge","CHAF1B",5663,4289,3197
"ge.NUP37",0.000582886584967372,"less","ge","NUP37",5664,4290,2871
"ge.CD33",0.00058294478236766,"greater","ge","CD33",5665,4291,3198
"ge.HN1L",0.000583180578940869,"less","ge","HN1L",5666,4292,2872
"ge.GOPC",0.000583516442746445,"greater","ge","GOPC",5667,4293,3199
"ge.ELMO3",0.000583876249437858,"less","ge","ELMO3",5668,4294,2873
"ge.STBD1",0.000583976185872263,"less","ge","STBD1",5669,4295,2874
"cn.LINC00314",0.000584670003136187,"greater","cn","LINC00314",5670,1779,3200
"cn.MAST1",0.000585561662072422,"greater","cn","MAST1",5671,1780,3201
